index,time
25138,1685156571345
25141,1685156571347
25143,1685156571352
25145,1685156571353
25147,1685156571357
25149,1685156571358
25150,1685156571358
25153,1685156571359
25155,1685156571361
25157,1685156571363
25158,1685156571363
25161,1685156571364
25163,1685156571371
25164,1685156571372
25167,1685156571374
25169,1685156571374
25171,1685156571375
25172,1685156571375
25175,1685156571377
25177,1685156571378
25179,1685156571391
25181,1685156571394
25183,1685156571399
25185,1685156571401
25187,1685156571405
25189,1685156571407
25191,1685156571408
25193,1685156571413
25195,1685156571416
25197,1685156571417
25199,1685156571419
25201,1685156571419
25203,1685156571420
25205,1685156571421
25207,1685156571429
25209,1685156571431
25211,1685156571436
25213,1685156571487
25214,1685156571487
25217,1685156571489
25219,1685156571491
25221,1685156571494
25222,1685156571494
25225,1685156571497
25227,1685156571507
25229,1685156571510
25231,1685156571515
25233,1685156571516
25235,1685156571523
25237,1685156571527
25238,1685156571527
25240,1685156571528
25242,1685156571533
25244,1685156571537
25245,1685156571537
25248,1685156571540
25250,1685156571541
25252,1685156571545
25254,1685156571546
25255,1685156571546
25256,1685156571547
25260,1685156571548
25262,1685156571550
25263,1685156571550
25266,1685156571551
25268,1685156571551
25270,1685156571553
25272,1685156571556
25274,1685156571561
25276,1685156571561
25278,1685156571564
25280,1685156571565
25282,1685156571566
25284,1685156571570
25286,1685156571573
25288,1685156571573
25290,1685156571575
25292,1685156571594
25293,1685156571595
25296,1685156571597
25297,1685156571597
25300,1685156571599
25302,1685156571601
25303,1685156571602
25306,1685156571603
25308,1685156571604
25309,1685156571604
25312,1685156571608
25314,1685156571611
25316,1685156571612
25318,1685156571615
25320,1685156571618
25322,1685156571622
25324,1685156571623
25326,1685156571629
25328,1685156571633
25329,1685156571633
25332,1685156571637
25334,1685156571640
25336,1685156571645
25338,1685156571653
25340,1685156571659
25342,1685156571661
25344,1685156571662
25345,1685156571662
25348,1685156571665
25350,1685156571669
25352,1685156571672
25354,1685156571673
25356,1685156571675
25358,1685156571678
25360,1685156571680
25362,1685156571681
25364,1685156571683
25366,1685156571685
25368,1685156571690
25369,1685156571690
25372,1685156571692
25374,1685156571693
25376,1685156571694
25378,1685156571696
25380,1685156571696
25382,1685156571697
25384,1685156571698
25386,1685156571699
25388,1685156571701
25390,1685156571702
25392,1685156571703
25394,1685156571704
25396,1685156571708
25398,1685156571709
25400,1685156571713
25402,1685156571714
25404,1685156571715
25406,1685156571719
25408,1685156571721
25409,1685156571722
25412,1685156571724
25414,1685156571724
25416,1685156571725
25418,1685156571725
25419,1685156571726
25422,1685156571727
25424,1685156571728
25426,1685156571732
25428,1685156571733
25430,1685156571734
25432,1685156571736
25434,1685156571736
25435,1685156571737
25438,1685156571738
25439,1685156571738
25442,1685156571741
25444,1685156571748
25446,1685156571753
25448,1685156571759
25450,1685156571759
25452,1685156571764
25454,1685156571768
25456,1685156571770
25458,1685156571775
25460,1685156571777
25462,1685156571781
25464,1685156571785
25466,1685156571789
25468,1685156571789
25470,1685156571791
25472,1685156571795
25474,1685156571797
25476,1685156571799
25478,1685156571800
25479,1685156571801
25482,1685156571806
25484,1685156571808
25486,1685156571810
25488,1685156571811
25490,1685156571813
25492,1685156571814
25494,1685156571816
25496,1685156571818
25498,1685156571820
25500,1685156571822
25502,1685156571823
25504,1685156571827
25506,1685156571829
25508,1685156571830
25510,1685156571832
25512,1685156571835
25514,1685156571841
25516,1685156571841
25518,1685156571842
25520,1685156571843
25522,1685156571845
25524,1685156571847
25526,1685156571848
25528,1685156571852
25530,1685156571854
25532,1685156571854
25534,1685156571855
25536,1685156571856
25538,1685156571857
25540,1685156571859
25542,1685156571859
25544,1685156571862
25546,1685156571867
25548,1685156571870
25550,1685156571872
25552,1685156571873
25554,1685156571875
25556,1685156571878
25558,1685156571880
25560,1685156571882
25562,1685156571886
25564,1685156571891
25566,1685156571893
25567,1685156571893
25570,1685156571895
25572,1685156571905
